Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (External issue ID),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Deployment: Create Validator Key Definition Section,STL-523,18836,Improvement,Invalid,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,,mfford,mfford,30/Jun/17 5:25 AM,25/May/21 4:56 AM,28/Oct/23 3:34 AM,,,,,,,,0,Needs-Review,,,,,,mfford,pschwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-331,,,,,,,,,,"1|hzy6g7:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,mfford,pschwarz,,,,,,,"25/May/21 4:56 AM;pschwarz;In preparation for a Sawtooth community transition from JIRA to Github issues, we are reviewing all issues within JIRA. This issue does not contain enough information to understand the reported feature or bug, and therefore we are updating its status to invalid. If you believe this is in error, please help our migration efforts and re-open this issue in Github Issues at https://github.com/hyperledger/sawtooth-core/issues.
;;;",,,,,,,,,,,,,,,,,,,,,,
Deployment: Create Starting with System D Section,STL-524,18837,Improvement,Invalid,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,,mfford,mfford,30/Jun/17 5:25 AM,25/May/21 4:56 AM,28/Oct/23 3:34 AM,,,,,,,,0,Needs-Review,,,,,,mfford,pschwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-331,,,,,,,,,,"1|hzy6gf:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,mfford,pschwarz,,,,,,,"25/May/21 4:56 AM;pschwarz;In preparation for a Sawtooth community transition from JIRA to Github issues, we are reviewing all issues within JIRA. This issue does not contain enough information to understand the reported feature or bug, and therefore we are updating its status to invalid. If you believe this is in error, please help our migration efforts and re-open this issue in Github Issues at https://github.com/hyperledger/sawtooth-core/issues.
;;;",,,,,,,,,,,,,,,,,,,,,,
Deployment: Create Validator Genesis Section,STL-525,18838,Improvement,Invalid,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,,mfford,mfford,30/Jun/17 5:25 AM,25/May/21 4:57 AM,28/Oct/23 3:34 AM,,,,,,,,0,Needs-Review,,,,,,mfford,pschwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-331,,,,,,,,,,"1|hzy6gn:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,mfford,pschwarz,,,,,,,"25/May/21 4:56 AM;pschwarz;In preparation for a Sawtooth community transition from JIRA to Github issues, we are reviewing all issues within JIRA. This issue does not contain enough information to understand the reported feature or bug, and therefore we are updating its status to invalid. If you believe this is in error, please help our migration efforts and re-open this issue in Github Issues at https://github.com/hyperledger/sawtooth-core/issues.
;;;",,,,,,,,,,,,,,,,,,,,,,
Create Monitoring & Troubleshooting Section,STL-526,18839,Improvement,Invalid,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,,mfford,mfford,30/Jun/17 5:26 AM,25/May/21 4:57 AM,28/Oct/23 3:34 AM,,,,,,,,0,Needs-Review,,,,,,mfford,pschwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-331,,,,,,,,,,"1|hzy6gv:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,mfford,pschwarz,,,,,,,"25/May/21 4:57 AM;pschwarz;In preparation for a Sawtooth community transition from JIRA to Github issues, we are reviewing all issues within JIRA. This issue does not contain enough information to understand the reported feature or bug, and therefore we are updating its status to invalid. If you believe this is in error, please help our migration efforts and re-open this issue in Github Issues at https://github.com/hyperledger/sawtooth-core/issues.
;;;",,,,,,,,,,,,,,,,,,,,,,
Write a section of the Docs that describe the usage of the settings used by the validator. ,STL-527,18970,Improvement,Invalid,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,agunde,agunde,agunde,05/Jul/17 10:57 PM,25/May/21 5:01 AM,28/Oct/23 3:34 AM,,Documentation,,,,,,0,Documentation,Needs-Review,,,"With the future addition of the authorization settings, the number of settings that could/should be set when using the validator are greatly increased.  It would be helpful to have one place where theses settings can be listed and their usage described. ",,achenette,agunde,pdina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy4rr:",,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,achenette,agunde,pdina,,,,,,"25/May/21 5:01 AM;agunde;In preparation for a Sawtooth community transition from JIRA to Github issues, we are reviewing all issues within JIRA. This issue does not contain enough information to understand the reported feature or bug, and therefore we are updating its status to invalid. If you believe this is in error, please help our migration efforts and re-open this issue in Github Issues at https://github.com/hyperledger/sawtooth-core/issues.;;;",,,,,,,,,,,,,,,,,,,,,,
Implement Trust Authorization,STL-528,18971,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,agunde,agunde,agunde,05/Jul/17 11:05 PM,07/Sep/17 1:15 AM,28/Oct/23 3:34 AM,07/Sep/17 1:15 AM,,,,,,,0,,,,,"The first step to enforcing on-chain connection authorization is to implement Trust Authorization. This should include the following:

Proto files for TrustAuthorization messages

Validator should expect a ConnectRequest and respond with a ConnectionResponse which includes roles available on that endpoint. 

Finally, 0ther Validators, TP for all sdk, and the Rest_api should respond with AuthorizationTrustRequest with its expected roles. The validator will respond with AuthorizationTrustResponse  and if accepted with roles allowed.

The network will then function as normal after this point. ",,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-287,,,,,,,,,,"1|hzy7dj:",,,,,,Sprint 41,,,,,,,,,,,5.0,,,,,,,,,,,,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implement Challenge Authorization,STL-529,18972,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,agunde,agunde,agunde,05/Jul/17 11:18 PM,12/Sep/17 1:10 AM,28/Oct/23 3:34 AM,12/Sep/17 1:10 AM,,,,,,,0,,,,,"Challenge Authorization should be used when enforcing connection against public keys. This should include:

Proto files for ChallengeAuthorization messages

Finally, requesting Validators will respond with AuthorizationChallengeRequest.

The validator will send a AuthorizationChallengeResponse, which include a payload that must be signed. 

The requesting validator will respond with a AuthorizationChallengeSubmit that includes the signature, public key, and requested roles

The validator will respond with AuthorizationChallengeResult and if accepted with roles allowed.

The network will then function as normal after this point. ",,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-287,,,,,,,,,,"1|hzy7dz:",,,,,,Sprint 41,Sprint 42,,,,,,,,,,5.0,,,,,,,,,,,,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update Network permissioning to IdentityObserver,STL-530,18974,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,agunde,agunde,agunde,05/Jul/17 11:41 PM,19/Sep/17 12:57 AM,28/Oct/23 3:34 AM,19/Sep/17 12:57 AM,,,,,,,0,,,,,,,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-287,,,,,,,,,,"1|hzye9z:",,,,,,Sprint 42,,,,,,,,,,,3.0,,,,,,,,,,,,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implement network permissioning ,STL-531,18975,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,agunde,agunde,agunde,05/Jul/17 11:48 PM,07/Sep/17 1:15 AM,28/Oct/23 3:34 AM,07/Sep/17 1:15 AM,,,,,,,0,,,,,"Add the permission check when receiving gossip messages, return AuthorizationViolation if a messaged is received from a non authorized node and close the connection. ",,agunde,dave_ias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-287,,,,,,,,,,"1|hzy7dr:",,,,,,Sprint 41,,,,,,,,,,,3.0,,,,,,,,,,,,agunde,dave_ias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implement sawtooth.authorization.client permissioning,STL-532,18976,Improvement,Duplicate,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,agunde,agunde,agunde,05/Jul/17 11:53 PM,25/May/21 5:11 AM,28/Oct/23 3:34 AM,,,,,,,,0,Needs-Review,,,,"Add the permission check when receiving client messages, return AuthorizationViolation if a messaged is received from a non authorized client and close the connection.",,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-577,,,,,,,,,,"1|hzy6xb:",,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,agunde,,,,,,,,"25/May/21 5:10 AM;agunde;This issues has been moved to https://github.com/hyperledger/sawtooth-core/issues/2378;;;",,,,,,,,,,,,,,,,,,,,,,
Implement Shared Secret Authorization,STL-533,18979,Improvement,Invalid,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,agunde,agunde,agunde,06/Jul/17 12:01 AM,25/May/21 5:13 AM,28/Oct/23 3:34 AM,,,,,,,,0,Needs-Review,,,,"Shared Secret Authorization should be used when enforcing connection that connected to a local validator. This should include:

Proto files for SharedSecrectAuthorization messages

Finally, requesting Validators will respond with AuthorizationSharedSecretRequest.

The  validator will respond with a AuthorizationSharedSecretResponse  and if the shared secret matches it will include the roles allowed.

The network will then function as normal after this point. ",,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-577,,,,,,,,,,"1|hzy6xz:",,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,agunde,,,,,,,,"25/May/21 5:13 AM;agunde;In preparation for a Sawtooth community transition from JIRA to Github issues, we are reviewing all issues within JIRA. This issue appears to be no longer applicable due to architectural changes in the current stable version of Sawtooth (v1.2), and so we are updating its status to invalid. If you believe this is in error, please help our migration efforts and re-open this issue in Github Issues at https://github.com/hyperledger/sawtooth-core/issues.;;;",,,,,,,,,,,,,,,,,,,,,,
Convert On-Chain Connection Authorization document to Sphinx doc,STL-534,18981,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,agunde,agunde,agunde,06/Jul/17 12:18 AM,18/Sep/17 10:51 PM,28/Oct/23 3:34 AM,18/Sep/17 10:51 PM,,,,,,,0,,,,,This should be placed in the architecture section of the documentation. ,,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-287,,,,,,,,,,"1|hzyean:",,,,,,Sprint 42,,,,,,,,,,,2.0,,,,,,,,,,,,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implement Rate Limiting for low level network messages while in Authorization checks,STL-535,18982,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,agunde,agunde,agunde,06/Jul/17 12:45 AM,19/Sep/17 2:01 AM,28/Oct/23 3:34 AM,19/Sep/17 2:01 AM,,,,,,,0,,,,,"Network Pings will be allowed while the requester is going through the authorization procedure, however we want to limit how often theses can be sent. If to many Pings are received from the requester, assume the requester is compromised, refuse the request and close the connection. ",,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-287,,,,,,,,,,"1|hzyea7:",,,,,,Sprint 42,,,,,,,,,,,2.0,,,,,,,,,,,,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rename cli commands,STL-536,18991,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,drozd,drozd,drozd,06/Jul/17 6:33 AM,11/Jul/17 4:33 AM,28/Oct/23 3:34 AM,08/Jul/17 1:29 AM,sawtooth-core,,,,,,0,,,,,"Various commands for 0.8 were added with the assumption that we
would at some point rename them for consistency across the project.
Now seems an appropriate time to pick the final names and do the
renaming.

Commands will use a '-' separator instead of '_', since this is
more consistent with Linux commands in general.

The clients commands remain largely unchanged, with intkey_jvm being
renamed to jvmsc (since it is an example of JVM smart contracts).

The client commands:
sawtooth
poet
intkey
jvmsc
xo
noop

The validator components will be prefixed with 'sawtooth-':

sawtooth-validator
sawtooth-rest-api

Transaction processors will be renamed to conform to the general
format of <family>-tp[-<lang>]. This organization is intended to
sort the CLI commands by family instead of function. The commands
become:

intkey-tp-go
intkey-tp-java
intkey-tp-javascript
intkey-tp-python
jvmsc-tp
xo-tp-go
xo-tp-javascript
xo-tp-python
noop-tp-go
supplychain-tp
poet-validator-registry-tp",,drozd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-351,,,,,,,,,,"1|hzy5cf:",,,,,,Sprint 37,,,,,,,,,,,2.0,,,,,,,,,,,,drozd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance Workload,STL-538,19017,Epic,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,mfford,mfford,mfford,07/Jul/17 9:55 PM,25/Aug/17 3:43 AM,28/Oct/23 3:34 AM,25/Aug/17 3:43 AM,,,,,,,0,,,,,Design and implement a Hyperledger Sawtooth transaction family and workload generation client suitable for benchmarking and stress testing the system. The tool will support capture and replay of workloads to ensure consistency across performance testing runs.,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-2,,Performance Workload,Done,,,,,,,,"1|hzxs7b:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sawtooth Performance Analysis,STL-539,19018,Epic,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,mfford,mfford,mfford,07/Jul/17 10:02 PM,26/Jan/18 1:30 AM,28/Oct/23 3:34 AM,26/Jan/18 1:30 AM,,,,,,,0,,,,,"Produce a Hyperledger Sawtooth Performance Analysis Report using the performance workload tools delivered by Performance Workload. The Performance Analysis Report will describe the behavior of an instance of Hyperledger Sawtooth consisting of at least five validator nodes and will include coverage of network, storage, and compute system resources. The report should enable the identification of potential system bottlenecks.",,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-2,,Sawtooth Performance Analysis,Done,,,,,,,,"1|hzxs9z:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PoET Release,STL-540,19020,Epic,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,mfford,mfford,mfford,07/Jul/17 10:03 PM,26/Jan/18 1:29 AM,28/Oct/23 3:34 AM,26/Jan/18 1:29 AM,,,,,,,0,,,,,Produce Ubuntu 16.04 deb packages and corresponding documentation for the PoET SGX component. The deliverable will be in the form of a repeatable build and release process integrated with the project’s existing CI and release process. The deliverable will also include the first versions of the built packages and associated documentation made available for public consumption.,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-2,,PoET Release,Done,,,,,,,,"1|hzxs9r:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove MustEncode() and MustDecode() from Go SDK,STL-541,19021,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,dplumb,adamludvik,adamludvik,07/Jul/17 10:47 PM,13/Jul/17 11:38 PM,28/Oct/23 3:34 AM,13/Jul/17 11:38 PM,Burrow EVM,Go SDK,,,,,0,,,,,"Remove the MustEncode() and MustDecode() methods from the Go SDK and replace all calls with hex.EncodeToString() and hex.DecodeString() from the ""encoding/hex"" Go library. These methods cause panics instead of handling errors gracefully, which is no longer desired. Handle the error returned from DecodeString().

 ",,adamludvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy733:",,,,,,Sprint 38,,,,,,,,,,,2.0,,,,,,,,,,,,adamludvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add option to wait for transactions to commit in Burrow-EVM client,STL-542,19022,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,dplumb,adamludvik,adamludvik,07/Jul/17 10:53 PM,29/Aug/17 5:31 AM,28/Oct/23 3:34 AM,29/Aug/17 5:31 AM,Burrow EVM,,,,,,0,,,,,"The Burrow-EVM client only checks that transactions were accepted by the REST API. It does not check to see if the transaction was committed or what the error was. An argument should be added to client methods which, if set, will cause the client to block until:
 1. A timeout has been reached, at which point it should return and error
 2. The transaction has been committed, at which point it should return normally
 3. There was a problem committing the transaction, at which point it should return a useful error

Update the integration tests to use this feature once implemented.",,adamludvik,,,,,,,,,,,,,,,,,,,STL-543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-447,,,,,,,,,,"1|hzy73j:",,,,,,Sprint 38,Sprint 39,Sprint 40,Sprint 41,,,,,,,,2.0,,,,,,,,,,,,adamludvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add --wait flag to seth commands,STL-543,19023,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,dplumb,adamludvik,adamludvik,07/Jul/17 10:55 PM,29/Aug/17 5:31 AM,28/Oct/23 3:34 AM,29/Aug/17 5:31 AM,Burrow EVM,,,,,,0,,,,,Add a --wait flag to seth commands that submit transactions which sets the wait option for the client.,,adamludvik,,,,,,,,,,,,,,STL-542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy73b:",,,,,,Sprint 38,Sprint 39,Sprint 40,Sprint 41,,,,,,,,2.0,,,,,,,,,,,,adamludvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove redundant encoding/decoding needed for keys and addresses in the Burrow-EVM transaction family,STL-544,19024,Improvement,Invalid,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,dplumb,adamludvik,adamludvik,07/Jul/17 10:57 PM,25/May/21 4:57 AM,28/Oct/23 3:34 AM,,Burrow EVM,,,,,,0,Needs-Review,,,,"The path an address takes from when it is passed as an argument to
seth to when it is used to update state should be traced and the type and number
of transformations should be simplified. This may mean storing EVM addresses as
strings in state to reduce the amount of encoding/decoding in which case it
should only be needed in transaction handlers prior to interacting with
SawtoothAppState.",,adamludvik,amundson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxn7b:",,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,adamludvik,amundson,,,,,,,"25/May/21 4:57 AM;amundson;In preparation for a Sawtooth community transition from JIRA to Github issues, we are reviewing all issues within JIRA. This issue appears to be no longer applicable due to architectural changes in the current stable version of Sawtooth (v1.2), and so we are updating its status to invalid. If you believe this is in error, please help our migration efforts and re-open this issue in Github Issues at https://github.com/hyperledger/sawtooth-seth/issues.;;;",,,,,,,,,,,,,,,,,,,,,,
Write Transaction Family Specification for Benchmark,STL-545,19027,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,jsmitchell,mfford,mfford,08/Jul/17 12:40 AM,08/Aug/17 2:42 AM,28/Oct/23 3:34 AM,07/Aug/17 9:48 PM,sawtooth-core,,,,,,0,,,,,Write the transaction family specification for the benchmark workload selected for benchmarking activity. ,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-538,,,,,,,,,,"1|hzxyvb:",,,,,,Sprint 38,Sprint 39,,,,,,,,,,2.0,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implement benchmark Transaction Processor & Workload client ,STL-546,19028,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,jsmitchell,mfford,mfford,08/Jul/17 12:41 AM,08/Aug/17 2:42 AM,28/Oct/23 3:34 AM,07/Aug/17 9:49 PM,sawtooth-core,,,,,,0,,,,,"Based on the transaction family specification, implement benchmark transaction processor. Also implement a command-line client workload generator capable of generating and submitting workload consistent with the design intent of the benchmark.",,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-538,,,,,,,,,,"1|hzxyvj:",,,,,,Sprint 38,Sprint 39,,,,,,,,,,5.0,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design Repeatable Performance Workload Execution,STL-547,19029,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,jsmitchell,mfford,mfford,08/Jul/17 12:42 AM,08/Aug/17 2:42 AM,28/Oct/23 3:34 AM,07/Aug/17 9:48 PM,sawtooth-core,,,,,,0,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-538,,,,,,,,,,"1|hzxyvr:",,,,,,Sprint 39,,,,,,,,,,,3.0,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
